strain	data source	year	month	region	location	continent	clade	group	MLVA	date	23SRna	Macrolide Susceptibility	time range	completeness	ST
23529	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23531	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23532	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23535	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23578	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
236_13194	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
23619	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
23624	self	2023	12	China	China-Henan	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.958	A2063G	R	2020-2024	contigs	3
237_13208	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
238_13177	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
239_13210	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
23M510	self	2023	1	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.792	A2063G	R	2020-2024	contigs	3
23M512	self	2023	1	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.792	A2063G	R	2020-2024	contigs	3
23M513	self	2023	1	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.792	A2063G	R	2020-2024	complete	3
23M554	self	2023	1	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.792	A2063G	R	2020-2024	complete	3
23M636	self	2023	11	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23R441	self	2023	9	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.708	A2063G	R	2020-2024	contigs	3
23R485	self	2023	9	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.708	A2063G	R	2020-2024	contigs	3
23R530	self	2023	1	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.792	A2063G	R	2020-2024	contigs	3
23R533	self	2023	1	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.792	A2063G	R	2020-2024	contigs	3
23R535	self	2023	1	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.792	A2063G	R	2020-2024	complete	3
23R583	self	2023	1	China	China-Beijing	Asia	T1-2-EC1	T1-2	5-5-7-2	2023.792	A2063G	R	2020-2024	contigs	3
23R600	self	2023	1	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.792	A2063G	R	2020-2024	contigs	3
23R655	self	2023	11	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
23R656	self	2023	11	China	China-Beijing	Asia	T1-2-EC1	T1-2	!-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
240_13209	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
241_16M143	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
244_16M139	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
246_18M2316	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
247_16M122	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
248_18M2192	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
249_18M2211	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
250_16M246	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
251_13193	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
252_16M226	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
254_19R1068	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
256_19M641	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
259_19R169	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
260_13216	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
261_16M229	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
263_19M010	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
264_16M257	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
265_19M1318	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
266_18M2242	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
267_19M075	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
269_19M360	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
271_16R093	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
277_16R111	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
278_19M071	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
279_19M645	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
281_19R760	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
282_19M571	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
283_19M263	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
284_19R673	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
285_19M402	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
288_19R163	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
289_19M666	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
290_19M152	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
291_19M637	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
292_19M278	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
293_19M384	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
294_19M254	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
295_19M140	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
297_19M557	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
298_19R980	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
300_19M196	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
301_19M797	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
302_19M080	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
303_19M142	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
305_16M225	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
306_16M207	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
307_19M218	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
308_19M162	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
309_19M187	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
310_18M2348	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
311_19M256	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
312_19R1149	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
313_18M2216	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
314_18M2353	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
315_19R1194	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
318_16M1126	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
320_19M1143	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
322_18M2357	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
323_19M525	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
324_18M2229	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
325_19M1084	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
326_19R700	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
327_19R167	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
329_19R1008	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
330_19M783	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
332_19M632	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
333_16M128	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
334_18M2289	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
335_16M222	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
336_18M2399	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	-
337_19M315	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
338_17R236	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
340_19M1164	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
342_19M427	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
343_19M132	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
344_19R1338	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
347_18M949	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
348_18M1011	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
349_13191	self	2013	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2013	A2063G	R	2010-2015	contigs	3
350_17M1190	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
351_18M1435	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
352_19M1189	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
353_18M2302	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
354_19M271	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
357_18M960	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	-
358_18M2224	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
359_18M1748	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
360_18M1493	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
361_18M1472	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	complete	3
362_17M1069	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
363_19M367	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
364_18M2126	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
365_18R1674	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
366_18M1911	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
367_18M2359	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
368_18M2030	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
369_18M2354	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
371_18R1913	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
372_18M2322	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
373_18M2072	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
375_18M1950	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
376_18R1843	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
377_19M1984	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
378_18M2073	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
380_18M2391	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
381_18M1957	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
382_18M2328	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
383_18M2364	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
384_18M2125	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
385_18M2390	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
386_19M1263	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
387_18M1992	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
388_18M1379	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
389_18M1491	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
391_17M1047	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
392_18M1686	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
393_18M1585	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
394_18M1409	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
395_18M1632	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
396_17R1180	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
397_18M1338	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
398_18M1381	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
399_18M1808	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
400_18M1637	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
403_17R1003	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
404_18M1382	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
405_18M1669	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
406_18M2392	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
407_18M1247	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
408_18M1474	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
409_18M1446	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
410_18M1426	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
411_18M1610	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
413_18M1315	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
415_18R1564	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
416_18M1396	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
417-1_18M1439	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
417-2_18M1466	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
418_18M1436	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
418_R417	self	2023	8	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.625	A2063G	R	2020-2024	complete	3
419-2_17M1063	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	-
421_18M1437	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
421_23R428	self	2023	8	China	China-Beijing	Asia	T1-2-EC1	T1-2	5-5-7-2	2023.625	A2063G	R	2020-2024	complete	3
422-1_18M1646	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
422-2_18M1682	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
423-1_18R1614	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
424-1_17M1127	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
424-2_18M1534	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
425-1_18M1470	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
425-2_18M1274	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
426-1_19R230	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
426-2_18M1650	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
427-2_18M1293	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
428_18M2055	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
428_2023XYX	self	2023	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.5	A2063G	R	2020-2024	complete	3
429-1_18M1471	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
429-2_18M2373	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
429_23R430	self	2023	9	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.708	A2063G	R	2020-2024	complete	3
430-1_18M1529	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
430-2_18M1862	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
430_D16447	self	2023	9	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.708	A2063G	R	2020-2024	complete	3
431_18M2137	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
431-2_18M1842	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
431_23M469	self	2023	1	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.792	A2063G	R	2020-2024	complete	3
432-1_17M1020	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
432_23M355	self	2023	9	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.708	A2063G	R	2020-2024	complete	3
433-2_18M1486	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
433_23R414	self	2023	8	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.625	A2063G	R	2020-2024	complete	3
434_18M1716	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
434-2_17M1158	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
